collection,seller,price,mintAddress
froganas,hero32cjSbKR4y4ZiPRF84EbZTR3PuKdgyuF6MQuiR4,0.8463,2UWoW4T4dy8SW63QDKtJubmkmH2a94dSPvMPezvWP5oK
froganas,hero32cjSbKR4y4ZiPRF84EbZTR3PuKdgyuF6MQuiR4,0.8463,6WTSrQ4XtrEVpbMH4U9YizS5jrUHtXviv9vrd6kicRNk
froganas,skyi3dryB3a3M5Sh5CTDYput2ET7BjTvXY8SMxZkheA,0.8463,AJUYoU6DpKQgLKn8Cxnh5wCpPaLpMoXdCf2N7bSYmkQh
froganas,8Gwdguqu9B96eSGFWJbz49PRuKRT5nZNLBDttm4mDQrh,0.8464,APaJ3u92hkDZZNY61zzKcXXP9ic18hNzhbBzXawkzE9A
froganas,8Gwdguqu9B96eSGFWJbz49PRuKRT5nZNLBDttm4mDQrh,0.8464,BBdQxXR8HvzaiehNYfVwY3e6RSehspGisBdvDgidWxYk
froganas,Aku34QTCSEWy8JbuBUGtH7udgMFbfpXjjvcJn82zKX51,0.8475,bfgA1RpiRgBfFE2Zu3WoTiZYNPUaaHpuB4pyJWTPRGk
froganas,64g6T6CNbxW9oQLvRnUBWFoppimMksbezpBdvoCvhmq1,0.8495,8A4q9JBnjytPbdLdb1UaCAQLqXnQuXeLw9UKLWtbjbo6
froganas,64g6T6CNbxW9oQLvRnUBWFoppimMksbezpBdvoCvhmq1,0.8496,Cv4fbbVtHm7pUvC1SYAXVeBADMvr76zSPQc7wJj6Q9PV
froganas,64g6T6CNbxW9oQLvRnUBWFoppimMksbezpBdvoCvhmq1,0.8497,6E87RacbksutPGhkcuNFrvW3TKATBMK56GfbRMmymrh6
froganas,64g6T6CNbxW9oQLvRnUBWFoppimMksbezpBdvoCvhmq1,0.8497,CmXm9LCateaUb4e94MougJmGboCeUU4iXZwPqg8hA7Nn
froganas,64g6T6CNbxW9oQLvRnUBWFoppimMksbezpBdvoCvhmq1,0.8498,5KKGnCfTUbWYYrhm3KTVFp979FZ6Cikt9XytzpquJtNx
froganas,64g6T6CNbxW9oQLvRnUBWFoppimMksbezpBdvoCvhmq1,0.8498,BtUtryNDLP1okaA1DJh5SjznUwQquGjBTNrsbLJs8fBM
froganas,64g6T6CNbxW9oQLvRnUBWFoppimMksbezpBdvoCvhmq1,0.8499,12GGoeHdT79AEUqV7G4qmc7GPMcuemMNmmydacrtyZzx
froganas,64g6T6CNbxW9oQLvRnUBWFoppimMksbezpBdvoCvhmq1,0.8499,BBErC63ATZTdrJaNcxxj1YpFNWC4EuS7iyHsxnwRLc9N
froganas,4dMWHABnkczFdACFAtN3sgdZkSfLUSZBsWsAoSsrgTRg,0.85,GYstybwANXfhZ7eTJN4dGVCEFcbgBCcC2LwsqpG73zj1
froganas,EVszcWthU6JidYCPgYc1y2uqoSajkJ3uepWPcK19336b,0.8508891,9xnDkYRkXJQfs9eSFnhRx9RhcTe5FHFN7EkMX12fTe4W
